base_name,extension,first_frame,last_frame,frame_count,missing_frame_count,total_size_bytes,total_size_human,directory,first_frame_path,width,height,fps,codec,pix_fmt,duration_sec
Brush,.jpg,1,30,30,0,5112697,4.9 MB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Brush_Paint_ Images\High,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Brush_Paint_ Images\High\Brush_01.jpg,,,,,,
Brush,.jpg,1,30,30,0,2021936,1.9 MB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Brush_Paint_ Images\Low,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Brush_Paint_ Images\Low\Brush_01.jpg,,,,,,
Grunge,.jpg,1,20,20,0,38455613,36.7 MB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Grungy_Textures\High\Color,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Grungy_Textures\High\Color\Grunge_01.jpg,,,,,,
Grunge_gray,.jpg,1,20,20,0,33843730,32.3 MB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Grungy_Textures\High\Grayscale,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Grungy_Textures\High\Grayscale\Grunge_gray_01.jpg,,,,,,
Grunge,.jpg,1,20,20,0,6237997,5.9 MB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Grungy_Textures\Low\Color,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Grungy_Textures\Low\Color\Grunge_01.jpg,,,,,,
Grunge_gray,.jpg,1,20,20,0,5565725,5.3 MB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Grungy_Textures\Low\Grayscale,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Grungy_Textures\Low\Grayscale\Grunge_gray_01.jpg,,,,,,
Paper,.jpg,1,10,10,0,10740748,10.2 MB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Paper_Textures\High,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Paper_Textures\High\Paper_01.jpg,,,,,,
Paper,.jpg,1,10,10,0,2938511,2.8 MB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Paper_Textures\Low,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Paper_Textures\Low\Paper_01.jpg,,,,,,
Drip,.jpg,1,8,8,0,1318152,1.3 MB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Splatter_Images\High\Dripping_Ink,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Splatter_Images\High\Dripping_Ink\Drip_01.jpg,,,,,,
Splatter,.jpg,1,22,22,0,2437907,2.3 MB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Splatter_Images\High\Splatter_Ink,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Splatter_Images\High\Splatter_Ink\Splatter_01.jpg,,,,,,
Drip,.jpg,1,8,8,0,719632,702.8 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Splatter_Images\Low\Dripping_Ink,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Splatter_Images\Low\Dripping_Ink\Drip_01.jpg,,,,,,
Splatter,.jpg,1,22,22,0,1466689,1.4 MB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Splatter_Images\Low\Splatter_Ink,S:\_POST_PRODUCTION\_VFX_ELEMENTS\(-RIOT_GEAR-)\Splatter_Images\Low\Splatter_Ink\Splatter_01.jpg,,,,,,
A6M2N,.jpg,1,3,3,0,668412,652.7 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\AIRCRAFT\A6M2N,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\AIRCRAFT\A6M2N\A6M2N_01.jpg,,,,,,
AIRBUS,.jpg,1,3,3,0,593428,579.5 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\AIRCRAFT\AIRBUS,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\AIRCRAFT\AIRBUS\AIRBUS01.jpg,,,,,,
B29,.jpg,1,3,3,0,704742,688.2 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\AIRCRAFT\B29,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\AIRCRAFT\B29\B29_01.jpg,,,,,,
B52,.jpg,1,3,3,0,705130,688.6 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\AIRCRAFT\B52,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\AIRCRAFT\B52\B52_01.jpg,,,,,,
B52-,.jpg,3,14,10,2,174985,170.9 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\AIRCRAFT\B52\B52,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\AIRCRAFT\B52\B52\B52-003.JPG,,,,,,
B6MG,.jpg,2,3,2,0,290503,283.7 KB,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\AIRCRAFT\B6MG,S:\_POST_PRODUCTION\_VFX_ELEMENTS\3D Models\3Ds Max 500 Models And Textures\500_Modeles_HQ+Textures_FR_ZIP_by_SRC.powaa\DATA\AIRCRAFT\B6MG\B6MG_02.jpg,,,,,,
